fid,MDI_IDENT,STATUS_ID,STATUS,NAME,All_NAMES,DEP_CLASS,P_COMMOD,S_COMMOD,RGP_DIST,TWP_AREA,LL_DATUM,LATITUDE,LONGITUDE,DETAIL,potentiel
6,MDI31F06SW00060,1008,Prospect,A. Dubblestein Graphite Property,"A. Dubblestein Graphite Property, Little-Bryan Occurrence, Lyndoch Property","Industrial, Metamorphic",Graphite,"Cobalt, Copper, Dolomite (Flux/Filler), Nickel",Southern Ontario,Lyndoch,NAD83,45.266601000000001,-77.311813999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31F06SW00060,Faible
8,MDI41I10SW00004,1005,Past Producing Mine,Falconbridge,Falconbridge,,"Copper, Nickel","Cobalt, Gold, Iridium, Iron, Palladium, Platinum, Rhodium, Ruthenium, Selenium, Silver",Sudbury,Falconbridge,NAD83,46.581032000000000,-80.799851000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SW00004,Très fort
13,MDI41P11SE00071,1004,Occurrence,Caswell-Eplett-Neelands,"Caswell-Eplett-Neelands, G.J. Mullen",,"Cobalt, Copper, Nickel, Silver",,Kirkland Lake,Leonard,NAD83,47.534016000000001,-81.029317000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P11SE00071,Fort
14,MDI42A09SW00188,1004,Occurrence,Mickle,"Amax of Canada Ltd., Canadian Johns-Manville Co. Ltd., International Nickel Co. Ltd., Mickle",,"Nickel, Palladium, Platinum",,Kirkland Lake,Munro,NAD83,48.577585999999997,-80.274867000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A09SW00188,Fort
16,MDI52F05SE00071,1008,Prospect,H.A. Bergman,"H.A. Bergman, Isinglass Lake, R.V. Knappet",,"Copper, Nickel",Gold,Kenora,Rowan Lake Area,NAD83,49.357235000000003,-93.696306000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52F05SE00071,Modéré
17,MDI41I10SW00060,1004,Occurrence,Sir Mortimer Davis,"Sir Mortimer Davis, Track-Davis",,"Copper, Nickel, Palladium, Platinum",,Sudbury,Garson,NAD83,46.569879999999998,-80.943889999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SW00060,Très fort
23,MDI42A14SW00032,1001,Deposit,Crawford Nickel Sulphide Project,"Anomaly 4-89, Crawford Nickel Main Zone, Crawford Nickel Sulphide Project, Inco 27095",Komatiite-hosted,Nickel,"Chromium, Cobalt, Copper, Gold, Magnesium Minerals, Platinum",Timmins,Crawford,NAD83,48.828614999999999,-81.358631000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A14SW00032,Fort
25,MDI31M05NE00115,1004,Occurrence,A. Seed,A. Seed,,Cobalt,Nickel,Kirkland Lake,Bucke,NAD83,47.433973000000002,-79.747938000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M05NE00115,Fort
28,MDI31C13SW00109,1003,Discretionary Occurrence,Macassa,Macassa,,"Copper, Nickel",,Southern Ontario,Wollaston,NAD83,44.837978000000000,-77.765623000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31C13SW00109,Faible
29,MDI41I05SW00091,1004,Occurrence,Baldwin F,"Baldwin F, Prosco 16, Turpeinen Property",,Copper,"Cobalt, Gold, Nickel, Sulphur/Pyrite",Sudbury,Baldwin,NAD83,46.319910999999998,-81.795263000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I05SW00091,Très fort
30,MDI52B09NW00027,1004,Occurrence,H. Milkie,H. Milkie,,"Copper, Nickel","Gold, Silver",Thunder Bay South,Haines,NAD83,48.633270000000003,-90.339191000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52B09NW00027,Intermédiaire
31,MDI42A09NE00004,1005,Past Producing Mine,Hedman,"Dyman, Hedman, Knight, Mangan-Dyer, Van Packer Mines of Canada Ltd.",,Serpentinite,"Asbestos, Cobalt, Copper, Nickel",Kirkland Lake,Warden,NAD83,48.625675999999999,-80.199252000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A09NE00004,Fort
33,MDI42A06SE00024,1004,Occurrence,J. Kennedy Property,"Claim T.R.P. 1566, J. Kennedy Property, Kennedy Occurrence, Kennedy-Croteau Property, M.M. Jones Property",,"Copper, Gold",Nickel,Timmins,Eldorado,NAD83,48.289740999999999,-81.086449000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A06SE00024,Fort
35,MDI41P08NW00002,1009,Past Producing Mine (Low Tonnage),White Reserve,White Reserve,,"Cobalt, Silver","Antimony, Bismuth, Copper, Gold, Nickel",Kirkland Lake,Whitson,NAD83,47.439664000000000,-80.279306000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P08NW00002,Fort
37,MDI42F04NE00010,1003,Discretionary Occurrence,Moshkinabi Lake Sulphides,"Aquarius Joint Venture Project 1191, Ian Lake Area Project No. 4034, Ice Cream Lake Occurrence, Manitouwadge Project, Moshkinabi Lake Sulphides",,"Copper, Nickel",,Thunder Bay South,Roberta,NAD83,49.128912000000000,-85.562763000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42F04NE00010,Intermédiaire
40,MDI31M04SE00030,1004,Occurrence,Gosselin,"Aldage, Gosselin",,"Copper, Silver","Cobalt, Gold, Nickel",Kirkland Lake,Cassels,NAD83,47.089050999999998,-79.696832000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M04SE00030,Fort
41,MDI41I06NE00005,1007,Producing Mine,Creighton Mine,Creighton Mine,,"Copper, Nickel, Palladium, Platinum","Cobalt, Gold, Iron, Selenium, Silver, Sulphur/Pyrite, Tellurium",Sudbury,Snider,NAD83,46.460746000000000,-81.181697999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NE00005,Très fort
